Area,Activity Name,Activity Descreption,Label,Sub Area,Industries to which it applies,Audit Type,Entities,Task Name,Estimated Hours,Auditing Standard,IAS,Process Note,,,
Companies Act 1956,"whether the title deeds of all the immovable properties (other than properties where the company is the lessee and the lease agreements are duly executed in favour of the lessee) disclosed in the financial statements are held in the name of the company, if not, provide the details thereof in the format below:-","whether the title deeds of all the immovable properties (other than properties where the company is the lessee and the lease agreements are duly executed in favour of the lessee) disclosed in the financial statements are held in the name of the company, if not, provide the details thereof in the format below:-",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"If the immovable properties taken on lease?

If yes, whether lease agreement made in the name of the company? Provide the details in the following format:",,3 (i) (c),,Annexure 2,,,Litigations/Defaults etc.
Companies Act 1956,"whether the company has revalued its Property, Plant and Equipment (including Right of Use assets) or intangible assets or both during the year and, if so, whether the revaluation is based on the valuation by a Registered Valuer; specify the amount of change, if change is 10% or more in the aggregate of the net carrying value of each class of Property, Plant and Equipment or intangible assets;","whether the company has revalued its Property, Plant and Equipment (including Right of Use assets) or intangible assets or both during the year and, if so, whether the revaluation is based on the valuation by a Registered Valuer; specify the amount of change, if change is 10% or more in the aggregate of the net carrying value of each class of Property, Plant and Equipment or intangible assets;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Whether the property, plant and equipment is revalued during the year?",,3 (i) (d),,NA,,,Going Concern Assessment
Companies Act 1956,"whether the company has revalued its Property, Plant and Equipment (including Right of Use assets) or intangible assets or both during the year and, if so, whether the revaluation is based on the valuation by a Registered Valuer; specify the amount of change, if change is 10% or more in the aggregate of the net carrying value of each class of Property, Plant and Equipment or intangible assets;","whether the company has revalued its Property, Plant and Equipment (including Right of Use assets) or intangible assets or both during the year and, if so, whether the revaluation is based on the valuation by a Registered Valuer; specify the amount of change, if change is 10% or more in the aggregate of the net carrying value of each class of Property, Plant and Equipment or intangible assets;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"If, yes, whether the valuation is done by a registered valuer?

Obtain a copy of the valuation report.",,3 (i) (d),,NA,,,Transaction Review
Companies Act 1956,"whether the company has revalued its Property, Plant and Equipment (including Right of Use assets) or intangible assets or both during the year and, if so, whether the revaluation is based on the valuation by a Registered Valuer; specify the amount of change, if change is 10% or more in the aggregate of the net carrying value of each class of Property, Plant and Equipment or intangible assets;","whether the company has revalued its Property, Plant and Equipment (including Right of Use assets) or intangible assets or both during the year and, if so, whether the revaluation is based on the valuation by a Registered Valuer; specify the amount of change, if change is 10% or more in the aggregate of the net carrying value of each class of Property, Plant and Equipment or intangible assets;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"If the valuation of the property, plant and equipment is more than 10% of net carrying value. If yes, then report with the amount.",,3 (i) (d),,NA,,,others
Companies Act 1956,"whether any proceedings have been initiated or are pending against the company for holding any benami property under the Benami Transactions (Prohibition) Act, 1988 (45 of 1988) and rules made thereunder, if so, whether the company has appropriately disclosed the details in its financial statements;","whether any proceedings have been initiated or are pending against the company for holding any benami property under the Benami Transactions (Prohibition) Act, 1988 (45 of 1988) and rules made thereunder, if so, whether the company has appropriately disclosed the details in its financial statements;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain a confirmation from the management if any proceedings going on under Benami Transactions (Prohibition) Act, 1988 or rules made thereunder.

If yes, then check if the disclosure is made in the financial statements. If no disclosure is made, qualify the report that such details are not reported in the financial statements.",,3 (i) (e),,NA,,,Regulatory
Companies Act 1956,"whether physical verification of inventory has been conducted at reasonable intervals by the management and whether, in the opinion of the auditor, the coverage and procedure of such verification by the management is appropriate; whether any discrepancies of 10% or more in the aggregate for each class of inventory were noticed and if so, whether they have been properly dealt with in the books of account;","whether physical verification of inventory has been conducted at reasonable intervals by the management and whether, in the opinion of the auditor, the coverage and procedure of such verification by the management is appropriate; whether any discrepancies of 10% or more in the aggregate for each class of inventory were noticed and if so, whether they have been properly dealt with in the books of account;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Check the procedure of verification

Obtain the details of how the physical verification is carried out, with the note on the procedure followed.

Is it proper?",,3 (ii) (a),,NA,,,
Companies Act 1956,"whether physical verification of inventory has been conducted at reasonable intervals by the management and whether, in the opinion of the auditor, the coverage and procedure of such verification by the management is appropriate; whether any discrepancies of 10% or more in the aggregate for each class of inventory were noticed and if so, whether they have been properly dealt with in the books of account;","whether physical verification of inventory has been conducted at reasonable intervals by the management and whether, in the opinion of the auditor, the coverage and procedure of such verification by the management is appropriate; whether any discrepancies of 10% or more in the aggregate for each class of inventory were noticed and if so, whether they have been properly dealt with in the books of account;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,Obtain the copies of the reports of physical verification carried out during the year.,,3 (ii) (a),,NA,,,
Companies Act 1956,"whether physical verification of inventory has been conducted at reasonable intervals by the management and whether, in the opinion of the auditor, the coverage and procedure of such verification by the management is appropriate; whether any discrepancies of 10% or more in the aggregate for each class of inventory were noticed and if so, whether they have been properly dealt with in the books of account;","whether physical verification of inventory has been conducted at reasonable intervals by the management and whether, in the opinion of the auditor, the coverage and procedure of such verification by the management is appropriate; whether any discrepancies of 10% or more in the aggregate for each class of inventory were noticed and if so, whether they have been properly dealt with in the books of account;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,Check the coverage of the items verified.,,3 (ii) (a),,NA,,,
Companies Act 1956,"whether physical verification of inventory has been conducted at reasonable intervals by the management and whether, in the opinion of the auditor, the coverage and procedure of such verification by the management is appropriate; whether any discrepancies of 10% or more in the aggregate for each class of inventory were noticed and if so, whether they have been properly dealt with in the books of account;","whether physical verification of inventory has been conducted at reasonable intervals by the management and whether, in the opinion of the auditor, the coverage and procedure of such verification by the management is appropriate; whether any discrepancies of 10% or more in the aggregate for each class of inventory were noticed and if so, whether they have been properly dealt with in the books of account;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Whether any discrepancies of 10% or more in each class of inventory noticed?

Each class of inventories may be as under:

Raw materials

Work in progress

Finished goods

Stores and spares

Loose tools

Any other items",,3 (ii) (a),,NA,,,
Companies Act 1956,"whether during any point of time of the year, the company has been sanctioned working capital limits in excess of five crore rupees, in aggregate, from banks or financial institutions on the basis of security of current assets; whether the quarterly returns or statements filed by the company with such banks or financial institutions are in agreement with the books of account of the Company, if not, give details;","whether during any point of time of the year, the company has been sanctioned working capital limits in excess of five crore rupees, in aggregate, from banks or financial institutions on the basis of security of current assets; whether the quarterly returns or statements filed by the company with such banks or financial institutions are in agreement with the books of account of the Company, if not, give details;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain a list of working capital loans sanctioned during the year, where the securities offered is current assets i.e Debtors, Inventories, fixed deposits, bills receivables etc. If yes, check:",,3 (ii) (a),,NA,,,
Companies Act 1956,"whether during any point of time of the year, the company has been sanctioned working capital limits in excess of five crore rupees, in aggregate, from banks or financial institutions on the basis of security of current assets; whether the quarterly returns or statements filed by the company with such banks or financial institutions are in agreement with the books of account of the Company, if not, give details;","whether during any point of time of the year, the company has been sanctioned working capital limits in excess of five crore rupees, in aggregate, from banks or financial institutions on the basis of security of current assets; whether the quarterly returns or statements filed by the company with such banks or financial institutions are in agreement with the books of account of the Company, if not, give details;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Whether quarterly returns or statements filed as per the terms of sanction letter.

If yes, report that these are filed. If not, report the period for which such statements are not filed.",,3 (ii) (a),,NA,,,
Companies Act 1956,"whether during any point of time of the year, the company has been sanctioned working capital limits in excess of five crore rupees, in aggregate, from banks or financial institutions on the basis of security of current assets; whether the quarterly returns or statements filed by the company with such banks or financial institutions are in agreement with the books of account of the Company, if not, give details;","whether during any point of time of the year, the company has been sanctioned working capital limits in excess of five crore rupees, in aggregate, from banks or financial institutions on the basis of security of current assets; whether the quarterly returns or statements filed by the company with such banks or financial institutions are in agreement with the books of account of the Company, if not, give details;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"If the figures submitted match with the books of account on that date.

If match, then report that these figures match with the accounts. If not, report the discrepancies with quantification.",,3 (ii) (a),,NA,,,
Companies Act 1956,"whether during the year the company has made investments in, provided any guarantee or security or granted any loans or advances in the nature of loans, secured or unsecured, to companies, firms, Limited Liability Partnerships or any other parties, if so, indicate-","whether during the year the company has made investments in, provided any guarantee or security or granted any loans or advances in the nature of loans, secured or unsecured, to companies, firms, Limited Liability Partnerships or any other parties, if so, indicate-",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain an entity wise list of:

(i) investments made

(ii) Guarantees provided

(iii) Securities provided

(iv) Loans granted

(v) Advances in the nature of loans

during the year.

Obtain copies of the Board minutes approving such investments, guarantees or securities for such loans and advances.",,3 (iii),,NA,,,
Companies Act 1956,"whether during the year the company has made investments in, provided any guarantee or security or granted any loans or advances in the nature of loans, secured or unsecured, to companies, firms, Limited Liability Partnerships or any other parties, if so, indicate-","whether during the year the company has made investments in, provided any guarantee or security or granted any loans or advances in the nature of loans, secured or unsecured, to companies, firms, Limited Liability Partnerships or any other parties, if so, indicate-",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"whether during the year the company has provided loans or provided advances in the nature of loans, or stood guarantee, or provided security to any other entity [not applicable to companies whose principal business is to give loans], if so, indicate-",,3 (iii) (a),,NA,,,
Companies Act 1956,"the aggregate amount during the year, and balance outstanding at the balance sheet date with respect to such loans or advances and guarantees or security to subsidiaries, joint ventures and associates;","the aggregate amount during the year, and balance outstanding at the balance sheet date with respect to such loans or advances and guarantees or security to subsidiaries, joint ventures and associates;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain a list of loans and advances and  guarantees given or securities provided for:

(i) Subsidiaries

(ii) Joint ventures

(iii) Associates

Check if any loans and advances and guarantees are given, securities provided for them and report the aggregate amount of loans and guarantees given/securities provided and the balances at the year end.",,3 (iii) (a) (A),,NA,,,
Companies Act 1956,"the aggregate amount during the year, and balance outstanding at the balance sheet date with respect to such loans or advances and guarantees or security to parties other than subsidiaries, joint ventures and associates;","the aggregate amount during the year, and balance outstanding at the balance sheet date with respect to such loans or advances and guarantees or security to parties other than subsidiaries, joint ventures and associates;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain a list of loans and advances and  guarantees given or securities provided to parties other than Subsidiaries, Joint ventures and Associates

Check if any loans and advances and guarantees are given, securities provided for them and report the aggregate amount of loans and guarantees given / securities provided and the balances at the year end.",,3 (iii) (a) (B),,NA,,,
Companies Act 1956,"whether the investments made, guarantees provided, security given and the terms and conditions of the grant of all loans and advances in the nature of loans and guarantees provided are not prejudicial to the company’s interest;","whether the investments made, guarantees provided, security given and the terms and conditions of the grant of all loans and advances in the nature of loans and guarantees provided are not prejudicial to the company’s interest;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Check if the terms and conditions of the loans and advances, guarantees provided are prejudicial to the interest of the company.

(These can be prejudicial to the interest of the company is the terms and conditions are not beneficial to the company. i.e interest rate is very low, the guarantees or securities given by the company is very high compared to its financial position etc)",,3 (iii) (b),,NA,,,
Companies Act 1956,"in respect of loans and advances in the nature of loans, whether the schedule of repayment of principal and payment of interest has been stipulated and whether the repayments or receipts are regular;","in respect of loans and advances in the nature of loans, whether the schedule of repayment of principal and payment of interest has been stipulated and whether the repayments or receipts are regular;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Check  if the repayment of interest and principal is stipulated. And if so, whether it is recovered as per the stipulation",,3 (iii) (c),,NA,,,
Companies Act 1956,"if the amount is overdue, state the total amount overdue for more than ninety days, and whether reasonable steps have been taken by the company for recovery of the principal and interest;","if the amount is overdue, state the total amount overdue for more than ninety days, and whether reasonable steps have been taken by the company for recovery of the principal and interest;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"If there is stipulation and the amounts are overdue for more than 90 days, whether steps taken for recovery?

Report the overdue amounts.

Report whether reasonable steps taken for recovery.",,3 (iii) (d),,NA,,,
Companies Act 1956,"whether any loan or advance in the nature of loan granted which has fallen due during the year, has been renewed or extended or fresh loans granted to settle the overdues of existing loans given to the same parties, if so, specify the aggregate amount of such dues renewed or extended or settled by fresh loans and the percentage of the aggregate to the total loans or advances in the nature of loans granted during the year [not applicable to companies whose principal business is to give loans];","whether any loan or advance in the nature of loan granted which has fallen due during the year, has been renewed or extended or fresh loans granted to settle the overdues of existing loans given to the same parties, if so, specify the aggregate amount of such dues renewed or extended or settled by fresh loans and the percentage of the aggregate to the total loans or advances in the nature of loans granted during the year [not applicable to companies whose principal business is to give loans];",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"If the existing loans were due which has been;

(i) Renewed

(ii) Extended or

(iii) Fresh loan given to settle the old loans;

Report the aggregate amounts and percentages of such loans  to the total  loans and advances if any.",,3 (iii) (e),,NA,,,
Companies Act 1956,"whether the company has granted any loans or advances in the nature of loans either repayable on demand or without specifying any terms or period of repayment, if so, specify the aggregate amount, percentage thereof to the total loans granted, aggregate amount of loans granted to Promoters, related parties as defined in clause (76) of section 2 of the Companies Act, 2013;","whether the company has granted any loans or advances in the nature of loans either repayable on demand or without specifying any terms or period of repayment, if so, specify the aggregate amount, percentage thereof to the total loans granted, aggregate amount of loans granted to Promoters, related parties as defined in clause (76) of section 2 of the Companies Act, 2013;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Check if any loans or advances in the nature of loan granted which are:

(i) Payable on demand

(ii)  Given without specifying any terms or period of repayment;

Report the aggregate amounts and percentages of such loans  to the total  loans and advances if any for each of the above categories.",,3 (iii) (f),,NA,,,
Companies Act 1956,"in respect of loans, investments, guarantees, and security, whether provisions of sections 185 and 186 of the Companies Act have been complied with, if not, provide the details thereof;","in respect of loans, investments, guarantees, and security, whether provisions of sections 185 and 186 of the Companies Act have been complied with, if not, provide the details thereof;",Assets,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain a compliance confirmation from the company management for section 185 and 186.

Report the non-compliances, if any.",,3 (iv),,NA,,,
Companies Act 1956,"in respect of deposits accepted by the company or amounts which are deemed to be deposits, whether the directives issued by the Reserve Bank of India and the provisions of sections 73 to 76 or any other relevant provisions of the Companies Act and the rules made thereunder, where applicable, have been complied with, if not, the nature of such 5 contraventions be stated; if an order has been passed by Company Law Board or National Company Law Tribunal or Reserve Bank of India or any court or any other tribunal, whether the same has been complied with or not;","in respect of deposits accepted by the company or amounts which are deemed to be deposits, whether the directives issued by the Reserve Bank of India and the provisions of sections 73 to 76 or any other relevant provisions of the Companies Act and the rules made thereunder, where applicable, have been complied with, if not, the nature of such 5 contraventions be stated; if an order has been passed by Company Law Board or National Company Law Tribunal or Reserve Bank of India or any court or any other tribunal, whether the same has been complied with or not;",Liability,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain a compliance confirmation from the company management for section 73 to 76A

Obtain a compliance certificate for compliance for Companies Acceptance of deposits Rules 2014.

Obtain the copies of Eforms filed for deposits received.

Report noncompliance if any for each of the above",,3 (v),,NA,,,
Companies Act 1956,whether maintenance of cost records has been specified by the Central Government under sub-section (1) of section 148 of the Companies Act and whether such accounts and records have been so made and maintained;,whether maintenance of cost records has been specified by the Central Government under sub-section (1) of section 148 of the Companies Act and whether such accounts and records have been so made and maintained;,Global Review of Accounts,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,Check if maintenance of Cost accounting records is applicable.,,3 (vi),,NA,,,
Companies Act 1956,whether maintenance of cost records has been specified by the Central Government under sub-section (1) of section 148 of the Companies Act and whether such accounts and records have been so made and maintained;,whether maintenance of cost records has been specified by the Central Government under sub-section (1) of section 148 of the Companies Act and whether such accounts and records have been so made and maintained;,Global Review of Accounts,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"If yes, obtain a  list of Cost accounts and records maintained.

Check if these are updated on the date of audit.",,3 (vi),,NA,,,
Companies Act 1956,"whether the company is regular in depositing undisputed statutory dues including Goods and Services Tax, provident fund, employees’ state insurance, income-tax, sales-tax, service tax, duty of customs, duty of excise, value added tax, cess and any other statutory dues to the appropriate authorities and if not, the extent of the arrears of outstanding statutory dues as on the last day of the financial year concerned for a period of more than six months from the date they became payable, shall be indicated;","whether the company is regular in depositing undisputed statutory dues including Goods and Services Tax, provident fund, employees’ state insurance, income-tax, sales-tax, service tax, duty of customs, duty of excise, value added tax, cess and any other statutory dues to the appropriate authorities and if not, the extent of the arrears of outstanding statutory dues as on the last day of the financial year concerned for a period of more than six months from the date they became payable, shall be indicated;",Global Review of Accounts,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain a list of outstanding statutory dues with the due date for payment.

Compare the period of due amount is more tha 6 months or not i.e. outstanding since 1st October onwards upto March.

If there is any amount due for more than 6 months, report the same.",,3 (vii) (a),,NA,,,
Companies Act 1956,"where statutory dues referred to in sub-clause (a) have not been deposited on account of any dispute, then the amounts involved and the forum where dispute is pending shall be mentioned (a mere representation to the concerned Department shall not be treated as a dispute);","where statutory dues referred to in sub-clause (a) have not been deposited on account of any dispute, then the amounts involved and the forum where dispute is pending shall be mentioned (a mere representation to the concerned Department shall not be treated as a dispute);",Regulatory,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain a list of disputed statutory liabilities with the details of the dispute lying for a decision.

Report the same in the existing format.",,3 (vii) (b),,NA,,,
Companies Act 1956,"whether any transactions not recorded in the books of account have been surrendered or disclosed as income during the year in the tax assessments under the Income Tax Act, 1961 (43 of 1961), if so, whether the previously unrecorded income has been properly recorded in the books of account during the year;","whether any transactions not recorded in the books of account have been surrendered or disclosed as income during the year in the tax assessments under the Income Tax Act, 1961 (43 of 1961), if so, whether the previously unrecorded income has been properly recorded in the books of account during the year;",Litigations/Defaults etc.,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain copies of assessment orders.

Check if any amount is surrendered / disclosed as income as per the assessment orders?

If so, whether the same is properly recorded in the books of account as income during the year.

If not, report the amount not so recorded.",,3 (viii) ,,NA,,,
Companies Act 1956,"whether the company has defaulted in repayment of loans or other borrowings or in the payment of interest thereon to any lender, if yes, the period and the amount of default to be reported as per the format attached :-","whether the company has defaulted in repayment of loans or other borrowings or in the payment of interest thereon to any lender, if yes, the period and the amount of default to be reported as per the format attached :-",Litigations/Defaults etc.,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain a loan wise list with due dates and the installments amount due

Check if the installments have been paid on due dates.

If there is a default, then report in the format as under:",,3 (ix) (a) ,,3. Process Note,,,
Companies Act 1956,whether the company is a declared wilful defaulter by any bank or financial institution or other lender;,whether the company is a declared wilful defaulter by any bank or financial institution or other lender;,Litigations/Defaults etc.,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,Obtain a confirmation from the management if the company is /is not declared as a willful defaulter.,,3 (ix) (b) ,,NA,,,
Companies Act 1956,"whether term loans were applied for the purpose for which the loans were obtained; if not, the amount of loan so diverted and the purpose for which it is used may be reported;","whether term loans were applied for the purpose for which the loans were obtained; if not, the amount of loan so diverted and the purpose for which it is used may be reported;",Litigations/Defaults etc.,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain a confirmation from the management as to for what  purpose of term loans were obtained.

Also check with the sanction letter issued by the bank.

Compare with the sanction letter issued by the bank.

Check if the same were used for the purpose as per the confirmation and sanction letter.

If not used, report for what purpose the same has been utilized.",,3 (ix) (c) ,,NA,,,
Companies Act 1956,"whether funds raised on short term basis have been utilised for long term purposes, if yes, the nature and amount to be indicated;","whether funds raised on short term basis have been utilised for long term purposes, if yes, the nature and amount to be indicated;",Liability,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain a confirmation from the management as to for what  purpose of term loans were obtained.

Also check with the sanction letter issued by the bank.

Compare with the sanction letter issued by the bank.

Check if the same were used for the purpose as per the confirmation and sanction letter.

If not used, report for what purpose the same has been utilized.",,3 (ix) (d) ,,NA,,,
Companies Act 1956,"whether the company has taken any funds from any entity or person on account of or to meet the obligations of its subsidiaries, associates or joint ventures, if so, details thereof with nature of such transactions and the amount in each case;","whether funds raised on short term basis have been utilised for long term purposes, if yes, the nature and amount to be indicated;",others,"Companies (Auditor’s Report) Order, 2020. ( CARO)",Generic Tasks Applicable to all Industries,Statutory Audit,CARO Qualifying Companies,"Obtain the details of funds taken from the entities  for meeting the obligations of:

(i) subsidiaries

(ii) associates

(iii) joint ventures

Report the funds taken and the nature of transaction i.e term loan, short term loan, guarantees, securities or such purpose.",,3 (ix) (e) ,,NA,,,
